Candidate,Party,Alliance
Recep Tayyip Erdogan,"AK Party (Justice and Development Party), the MHP (Nationalist Movement Party) and BBP (Great Unity Party)",People's Alliance
Muharrem Ince,CHP (Republican People's Party),
Meral Aksener,Iyi (Good) Party,
Selahattin Demirtas,HDP (People's Democratic Party),
Temel Karamollaoglu,Saadet (Felicity) Party,
Dogu Perincek,Vatan (Patriotic) Party,
